OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
1,13259,905,22.277040000000000,114.192970000000003,大坑道16-18號,NO SPECIFIC NAME,沒有名稱,1/1/1955 0:00,0,2578.000000000000000,107.299999999999997,2685.300000000000182,5,70,90450,1.500000000000000,1,0,0,1,0,837931,815361,灣仔區,Wan Chai,*
2,10521,998,22.277249999999999,114.184550000000002,禮賢大廈 禮頓道58-64A號,LEIGYINN BUILDING,禮賢大廈,9/1/1956 0:00,0,6393.500000000000000,916.000000000000000,7309.500000000000000,8,68,50000,0.4,0,0,0,1,0,0,0,灣仔區,Wan Chai, 
3,7842,686,22.339630000000000,114.155270000000002,和興大廈,WO HING BUILDING,和興大廈,6/1/1957 0:00,0,5632.500000000000000,643.100000000000023,6275.600000000000364,8,67,20000,0.5,0,2,0,1,0,834044,822285,深水埗區,Sham Shui Po,***
4,7643,942,22.290189999999999,114.196849999999998,美都大廈,MIDO APARTMENTS,美都大廈,7/1/1958 0:00,0,5360.100000000000364,918.600000000000023,6278.699999999999818,16,66,26780,0.4,1,1,0,1,0,838326,816811,東區,Eastern,**
5,12858,801,22.277830000000002,114.184320000000000,蟾宮大廈,EMPIRE COURT,蟾宮大廈,,0,7617.100000000000364,1890.000000000000000,9507.100000000000364,17,0,50000,0.3,1,0,0,1,0,837033,815447,灣仔區,Wan Chai,*
6,10852,645,22.289570000000001,114.209080000000000,麗都大廈,LIDO APARTMENTS,麗都大廈,5/1/1958 0:00,0,12936.500000000000000,542.899999999999977,13479.399999999999636,17,66,26990,0.2,1,1,0,1,0,839609,816746,東區,Eastern,**
7,10009,1049,22.290189999999999,114.196849999999998,美都大廈,MIDO APARTMENTS,美都大廈,7/1/1958 0:00,0,5360.100000000000364,918.600000000000023,6278.699999999999818,16,66,26780,0.4,1,1,0,1,0,838326,816811,東區,Eastern,**
8,8695,759,22.329170000000001,114.166830000000004,華僑大廈 B座,WAH KIU MANSION,華僑大廈,7/1/1958 0:00,0,8183.800000000000182,746.500000000000000,8930.299999999999272,12,66,27740,0.4,1,1,0,1,0,835232,821128,深水埗區,Sham Shui Po,**
9,13605,735,22.285399999999999,114.190960000000004,歌頓大廈,GORDON HOUSE,歌頓大廈,6/1/1958 0:00,0,7192.500000000000000,322.800000000000011,7515.300000000000182,16,66,19250,0.3,1,0,0,1,0,837720,816268,東區,Eastern,*
10,12898,721,22.279869999999999,114.151030000000006,威勝大廈,WISE MANSION,威勝大廈,10/1/1958 0:00,0,11044.000000000000000,506.000000000000000,11550.000000000000000,14,66,53000,0.8,1,0,0,1,0,833593,815646,中西區,Central and Western,*
11,9615,884,22.321629999999999,114.179220000000001,翠華大廈 1座,MANDARIN COURT BLOCK 1,翠華大廈第１座,12/1/1958 0:00,0,5790.500000000000000,0,5790.500000000000000,12,66,87000,1.000000000000000,1,0,0,1,0,836510,820291,九龍城區,Kowloon City,*
